treatment,date,day,arena,hatchlings
high,may_27,,1,
high,may_27,,2,
high,may_27,,3,
high,may_27,,4,
high,may_27,,5,
high,may_27,,6,
high,may_27,,7,
high,may_27,,8,
high,may_27,,9,
high,may_27,,10,
high,may_27,,11,
high,may_27,,12,
high,may_27,,13,
high,may_27,,14,
high,may_27,,15,
high,may_27,,16,
high,may_27,,17,
high,may_27,,18,
high,may_27,,19,
high,may_27,,20,
low,may_27,,1,
low,may_27,,2,
low,may_27,,3,
low,may_27,,4,
low,may_27,,5,
low,may_27,,6,
low,may_27,,7,
low,may_27,,8,
low,may_27,,9,
low,may_27,,10,
low,may_27,,11,
low,may_27,,12,
low,may_27,,13,
low,may_27,,14,
low,may_27,,15,
low,may_27,,16,
low,may_27,,17,
low,may_27,,18,
low,may_27,,19,
low,may_27,,20,
high,may_31,,1,
high,may_31,,2,
high,may_31,,3,
high,may_31,,4,
high,may_31,,5,
high,may_31,,6,
high,may_31,,7,
high,may_31,,8,
high,may_31,,9,
high,may_31,,10,
high,may_31,,11,
high,may_31,,12,
high,may_31,,13,
high,may_31,,14,
high,may_31,,15,
high,may_31,,16,
high,may_31,,17,
high,may_31,,18,
high,may_31,,19,
high,may_31,,20,
low,may_31,,1,
low,may_31,,2,
low,may_31,,3,
low,may_31,,4,
low,may_31,,5,
low,may_31,,6,
low,may_31,,7,
low,may_31,,8,
low,may_31,,9,
low,may_31,,10,
low,may_31,,11,
low,may_31,,12,
low,may_31,,13,
low,may_31,,14,
low,may_31,,15,
low,may_31,,16,
low,may_31,,17,
low,may_31,,18,
low,may_31,,19,
low,may_31,,20,
high,,,1,
high,,,2,
high,,,3,
high,,,4,
high,,,5,
high,,,6,
high,,,7,
high,,,8,
high,,,9,
high,,,10,
high,,,11,
high,,,12,
high,,,13,
high,,,14,
high,,,15,
high,,,16,
high,,,17,
high,,,18,
high,,,19,
high,,,20,
low,,,1,
low,,,2,
low,,,3,
low,,,4,
low,,,5,
low,,,6,
low,,,7,
low,,,8,
low,,,9,
low,,,10,
low,,,11,
low,,,12,
low,,,13,
low,,,14,
low,,,15,
low,,,16,
low,,,17,
low,,,18,
low,,,19,
low,,,20,
high,,,1,
high,,,2,
high,,,3,
high,,,4,
high,,,5,
high,,,6,
high,,,7,
high,,,8,
high,,,9,
high,,,10,
high,,,11,
high,,,12,
high,,,13,
high,,,14,
high,,,15,
high,,,16,
high,,,17,
high,,,18,
high,,,19,
high,,,20,
low,,,1,
low,,,2,
low,,,3,
low,,,4,
low,,,5,
low,,,6,
low,,,7,
low,,,8,
low,,,9,
low,,,10,
low,,,11,
low,,,12,
low,,,13,
low,,,14,
low,,,15,
low,,,16,
low,,,17,
low,,,18,
low,,,19,
low,,,20,
high,,,1,
high,,,2,
high,,,3,
high,,,4,
high,,,5,
high,,,6,
high,,,7,
high,,,8,
high,,,9,
high,,,10,
high,,,11,
high,,,12,
high,,,13,
high,,,14,
high,,,15,
high,,,16,
high,,,17,
high,,,18,
high,,,19,
high,,,20,
low,,,1,
low,,,2,
low,,,3,
low,,,4,
low,,,5,
low,,,6,
low,,,7,
low,,,8,
low,,,9,
low,,,10,
low,,,11,
low,,,12,
low,,,13,
low,,,14,
low,,,15,
low,,,16,
low,,,17,
low,,,18,
low,,,19,
low,,,20,
high,,,1,
high,,,2,
high,,,3,
high,,,4,
high,,,5,
high,,,6,
high,,,7,
high,,,8,
high,,,9,
high,,,10,
high,,,11,
high,,,12,
high,,,13,
high,,,14,
high,,,15,
high,,,16,
high,,,17,
high,,,18,
high,,,19,
high,,,20,
low,,,1,
low,,,2,
low,,,3,
low,,,4,
low,,,5,
low,,,6,
low,,,7,
low,,,8,
low,,,9,
low,,,10,
low,,,11,
low,,,12,
low,,,13,
low,,,14,
low,,,15,
low,,,16,
low,,,17,
low,,,18,
low,,,19,
low,,,20,
high,,,1,
high,,,2,
high,,,3,
high,,,4,
high,,,5,
high,,,6,
high,,,7,
high,,,8,
high,,,9,
high,,,10,
high,,,11,
high,,,12,
high,,,13,
high,,,14,
high,,,15,
high,,,16,
high,,,17,
high,,,18,
high,,,19,
high,,,20,
low,,,1,
low,,,2,
low,,,3,
low,,,4,
low,,,5,
low,,,6,
low,,,7,
low,,,8,
low,,,9,
low,,,10,
low,,,11,
low,,,12,
low,,,13,
low,,,14,
low,,,15,
low,,,16,
low,,,17,
low,,,18,
low,,,19,
low,,,20,
high,,,1,
high,,,2,
high,,,3,
high,,,4,
high,,,5,
high,,,6,
high,,,7,
high,,,8,
high,,,9,
high,,,10,
high,,,11,
high,,,12,
high,,,13,
high,,,14,
high,,,15,
high,,,16,
high,,,17,
high,,,18,
high,,,19,
high,,,20,
low,,,1,
low,,,2,
low,,,3,
low,,,4,
low,,,5,
low,,,6,
low,,,7,
low,,,8,
low,,,9,
low,,,10,
low,,,11,
low,,,12,
low,,,13,
low,,,14,
low,,,15,
low,,,16,
low,,,17,
low,,,18,
low,,,19,
low,,,20,
high,,,1,
high,,,2,
high,,,3,
high,,,4,
high,,,5,
high,,,6,
high,,,7,
high,,,8,
high,,,9,
high,,,10,
high,,,11,
high,,,12,
high,,,13,
high,,,14,
high,,,15,
high,,,16,
high,,,17,
high,,,18,
high,,,19,
high,,,20,
low,,,1,
low,,,2,
low,,,3,
low,,,4,
low,,,5,
low,,,6,
low,,,7,
low,,,8,
low,,,9,
low,,,10,
low,,,11,
low,,,12,
low,,,13,
low,,,14,
low,,,15,
low,,,16,
low,,,17,
low,,,18,
low,,,19,
low,,,20,
high,,,1,
high,,,2,
high,,,3,
high,,,4,
high,,,5,
high,,,6,
high,,,7,
high,,,8,
high,,,9,
high,,,10,
high,,,11,
high,,,12,
high,,,13,
high,,,14,
high,,,15,
high,,,16,
high,,,17,
high,,,18,
high,,,19,
high,,,20,
low,,,1,
low,,,2,
low,,,3,
low,,,4,
low,,,5,
low,,,6,
low,,,7,
low,,,8,
low,,,9,
low,,,10,
low,,,11,
low,,,12,
low,,,13,
low,,,14,
low,,,15,
low,,,16,
low,,,17,
low,,,18,
low,,,19,
low,,,20,
